,Modell_Segment_Raw,Gefundenes_Segment
148,Explorer EV Extended Range (79 kWh) Premium AWD (Mittelklasse-SUV),Mittelklasse-SUV
149,Explorer EV Standard Range (52 kWh) Premium (Mittelklasse-SUV),Mittelklasse-SUV
150,Kuga 2.5 PHEV Titanium CVT (Kompakt-SUV),Kompakt-SUV
151,Kuga 1.5 EcoBoost Titanium (Kompakt-SUV),Kompakt-SUV
152,Kuga Active 2.5 PHEV CVT (Kompakt-SUV),Kompakt-SUV
153,Kuga Active 2.5 FHEV CVT (Kompakt-SUV),Kompakt-SUV
154,Mustang Mach-E Extended Range Premium (Mittelklasse-SUV (Performance-Crossover)),Mittelklasse-SUV (Performance-Crossover)
155,Mustang Mach-E Rally (Mittelklasse-SUV (Performance-Crossover)),Mittelklasse-SUV (Performance-Crossover)
156,Mustang Mach-E Standard Range (Mittelklasse-SUV (Performance-Crossover)),Mittelklasse-SUV (Performance-Crossover)
157,Puma Gen-E (Kleinwagen-SUV),Kleinwagen-SUV
158,Tourneo Connect 1.5 EcoBoost PHEV Trend Automatik (Hochdachkombi / Kompaktvan),Hochdachkombi / Kompaktvan
159,Tourneo Connect 1.5 EcoBoost Trend (Hochdachkombi / Kompaktvan),Hochdachkombi / Kompaktvan
160,CR-V 2.0 i-MMD e:PHEV Advance Tech 2WD e-CVT (Kompakt-SUV),Kompakt-SUV
161,CR-V 2.0 i-MMD e:HEV Elegance 2WD e-CVT (Kompakt-SUV),Kompakt-SUV
162,e:Ny1 (Kompakt-SUV),Kompakt-SUV
163,ZR-V 2.0 i-MMD e:HEV Elegance (Kompakt-SUV),Kompakt-SUV
164,Inster (42 kWh) Select (Kleinstwagen),Kleinstwagen
165,Bayon 1.0 T-GDI Select (Kleinwagen-SUV),Kleinwagen-SUV
166,Inster (49 kWh) Select (Kleinstwagen),Kleinstwagen
167,IONIQ 5 (63 kWh) 2WD (Mittelklasse-Crossover (SUV-ähnlich)),Mittelklasse-Crossover (SUV-ähnlich)
168,IONIQ 5 (84 kWh) DYNAMIQ 2WD (Mittelklasse-Crossover (SUV-ähnlich)),Mittelklasse-Crossover (SUV-ähnlich)
169,IONIQ 5 N (Performance-Crossover (SUV-ähnlich)),Performance-Crossover (SUV-ähnlich)
